image_id,image_filename,image_path,name,caption,types,genus,generation
29,029_nidoran-f.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/029_nidoran-f.png,nidoran-f,poison-type poison pin pokemon,poison,Poison Pin Pokémon,generation-i
30,030_nidorina.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/030_nidorina.png,nidorina,poison-type poison pin pokemon,poison,Poison Pin Pokémon,generation-i
31,031_nidoqueen.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/031_nidoqueen.png,nidoqueen,poison and ground-type drill pokemon,"poison, ground",Drill Pokémon,generation-i
32,032_nidoran-m.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/032_nidoran-m.png,nidoran-m,poison-type poison pin pokemon,poison,Poison Pin Pokémon,generation-i
33,033_nidorino.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/033_nidorino.png,nidorino,poison-type poison pin pokemon,poison,Poison Pin Pokémon,generation-i
34,034_nidoking.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/034_nidoking.png,nidoking,poison and ground-type drill pokemon,"poison, ground",Drill Pokémon,generation-i
35,035_clefairy.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/035_clefairy.png,clefairy,fairy-type fairy pokemon,fairy,Fairy Pokémon,generation-i
36,036_clefable.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/036_clefable.png,clefable,fairy-type fairy pokemon,fairy,Fairy Pokémon,generation-i
37,037_vulpix.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/037_vulpix.png,vulpix,fire-type fox pokemon,fire,Fox Pokémon,generation-i
38,038_ninetales.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/038_ninetales.png,ninetales,fire-type fox pokemon,fire,Fox Pokémon,generation-i
39,039_jigglypuff.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/039_jigglypuff.png,jigglypuff,normal and fairy-type balloon pokemon,"normal, fairy",Balloon Pokémon,generation-i
40,040_wigglytuff.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/040_wigglytuff.png,wigglytuff,normal and fairy-type balloon pokemon,"normal, fairy",Balloon Pokémon,generation-i
41,041_zubat.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/041_zubat.png,zubat,poison and flying-type bat pokemon,"poison, flying",Bat Pokémon,generation-i
42,042_golbat.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/042_golbat.png,golbat,poison and flying-type bat pokemon,"poison, flying",Bat Pokémon,generation-i
43,043_oddish.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/043_oddish.png,oddish,grass and poison-type weed pokemon,"grass, poison",Weed Pokémon,generation-i
44,044_gloom.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/044_gloom.png,gloom,grass and poison-type weed pokemon,"grass, poison",Weed Pokémon,generation-i
45,045_vileplume.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/045_vileplume.png,vileplume,grass and poison-type flower pokemon,"grass, poison",Flower Pokémon,generation-i
46,046_paras.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/046_paras.png,paras,bug and grass-type mushroom pokemon,"bug, grass",Mushroom Pokémon,generation-i
47,047_parasect.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/047_parasect.png,parasect,bug and grass-type mushroom pokemon,"bug, grass",Mushroom Pokémon,generation-i
48,048_venonat.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/048_venonat.png,venonat,bug and poison-type insect pokemon,"bug, poison",Insect Pokémon,generation-i
49,049_venomoth.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/049_venomoth.png,venomoth,bug and poison-type poison moth pokemon,"bug, poison",Poison Moth Pokémon,generation-i
50,050_diglett.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/050_diglett.png,diglett,ground-type mole pokemon,ground,Mole Pokémon,generation-i
51,051_dugtrio.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/051_dugtrio.png,dugtrio,ground-type mole pokemon,ground,Mole Pokémon,generation-i
52,052_meowth.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/052_meowth.png,meowth,normal-type scratch cat pokemon,normal,Scratch Cat Pokémon,generation-i
53,053_persian.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/053_persian.png,persian,normal-type classy cat pokemon,normal,Classy Cat Pokémon,generation-i
54,054_psyduck.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/054_psyduck.png,psyduck,water-type duck pokemon,water,Duck Pokémon,generation-i
55,055_golduck.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/055_golduck.png,golduck,water-type duck pokemon,water,Duck Pokémon,generation-i
56,056_mankey.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/056_mankey.png,mankey,fighting-type pig monkey pokemon,fighting,Pig Monkey Pokémon,generation-i
57,057_primeape.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/057_primeape.png,primeape,fighting-type pig monkey pokemon,fighting,Pig Monkey Pokémon,generation-i
58,058_growlithe.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/058_growlithe.png,growlithe,fire-type puppy pokemon,fire,Puppy Pokémon,generation-i
59,059_arcanine.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/059_arcanine.png,arcanine,fire-type legendary pokemon,fire,Legendary Pokémon,generation-i
60,060_poliwag.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/060_poliwag.png,poliwag,water-type tadpole pokemon,water,Tadpole Pokémon,generation-i
61,061_poliwhirl.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/061_poliwhirl.png,poliwhirl,water-type tadpole pokemon,water,Tadpole Pokémon,generation-i
62,062_poliwrath.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/062_poliwrath.png,poliwrath,water and fighting-type tadpole pokemon,"water, fighting",Tadpole Pokémon,generation-i
63,063_abra.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/063_abra.png,abra,psychic-type psi pokemon,psychic,Psi Pokémon,generation-i
64,064_kadabra.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/064_kadabra.png,kadabra,psychic-type psi pokemon,psychic,Psi Pokémon,generation-i
65,065_alakazam.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/065_alakazam.png,alakazam,psychic-type psi pokemon,psychic,Psi Pokémon,generation-i
66,066_machop.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/066_machop.png,machop,fighting-type superpower pokemon,fighting,Superpower Pokémon,generation-i
67,067_machoke.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/067_machoke.png,machoke,fighting-type superpower pokemon,fighting,Superpower Pokémon,generation-i
68,068_machamp.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/068_machamp.png,machamp,fighting-type superpower pokemon,fighting,Superpower Pokémon,generation-i
69,069_bellsprout.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/069_bellsprout.png,bellsprout,grass and poison-type flower pokemon,"grass, poison",Flower Pokémon,generation-i
70,070_weepinbell.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/070_weepinbell.png,weepinbell,grass and poison-type flycatcher pokemon,"grass, poison",Flycatcher Pokémon,generation-i
71,071_victreebel.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/071_victreebel.png,victreebel,grass and poison-type flycatcher pokemon,"grass, poison",Flycatcher Pokémon,generation-i
72,072_tentacool.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/072_tentacool.png,tentacool,water and poison-type jellyfish pokemon,"water, poison",Jellyfish Pokémon,generation-i
73,073_tentacruel.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/073_tentacruel.png,tentacruel,water and poison-type jellyfish pokemon,"water, poison",Jellyfish Pokémon,generation-i
74,074_geodude.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/074_geodude.png,geodude,rock and ground-type rock pokemon,"rock, ground",Rock Pokémon,generation-i
75,075_graveler.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/075_graveler.png,graveler,rock and ground-type rock pokemon,"rock, ground",Rock Pokémon,generation-i
76,076_golem.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/076_golem.png,golem,rock and ground-type megaton pokemon,"rock, ground",Megaton Pokémon,generation-i
77,077_ponyta.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/077_ponyta.png,ponyta,fire-type fire horse pokemon,fire,Fire Horse Pokémon,generation-i
78,078_rapidash.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/078_rapidash.png,rapidash,fire-type fire horse pokemon,fire,Fire Horse Pokémon,generation-i
79,079_slowpoke.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/079_slowpoke.png,slowpoke,water and psychic-type dopey pokemon,"water, psychic",Dopey Pokémon,generation-i
80,080_slowbro.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/080_slowbro.png,slowbro,water and psychic-type hermit crab pokemon,"water, psychic",Hermit Crab Pokémon,generation-i
81,081_magnemite.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/081_magnemite.png,magnemite,electric and steel-type magnet pokemon,"electric, steel",Magnet Pokémon,generation-i
82,082_magneton.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/082_magneton.png,magneton,electric and steel-type magnet pokemon,"electric, steel",Magnet Pokémon,generation-i
83,083_farfetchd.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/083_farfetchd.png,farfetchd,normal and flying-type wild duck pokemon,"normal, flying",Wild Duck Pokémon,generation-i
84,084_doduo.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/084_doduo.png,doduo,normal and flying-type twin bird pokemon,"normal, flying",Twin Bird Pokémon,generation-i
85,085_dodrio.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/085_dodrio.png,dodrio,normal and flying-type triple bird pokemon,"normal, flying",Triple Bird Pokémon,generation-i
86,086_seel.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/086_seel.png,seel,water-type sea lion pokemon,water,Sea Lion Pokémon,generation-i
87,087_dewgong.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/087_dewgong.png,dewgong,water and ice-type sea lion pokemon,"water, ice",Sea Lion Pokémon,generation-i
88,088_grimer.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/088_grimer.png,grimer,poison-type sludge pokemon,poison,Sludge Pokémon,generation-i
89,089_muk.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/089_muk.png,muk,poison-type sludge pokemon,poison,Sludge Pokémon,generation-i
90,090_shellder.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/090_shellder.png,shellder,water-type bivalve pokemon,water,Bivalve Pokémon,generation-i
91,091_cloyster.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/091_cloyster.png,cloyster,water and ice-type bivalve pokemon,"water, ice",Bivalve Pokémon,generation-i
92,092_gastly.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/092_gastly.png,gastly,ghost and poison-type gas pokemon,"ghost, poison",Gas Pokémon,generation-i
93,093_haunter.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/093_haunter.png,haunter,ghost and poison-type gas pokemon,"ghost, poison",Gas Pokémon,generation-i
94,094_gengar.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/094_gengar.png,gengar,ghost and poison-type shadow pokemon,"ghost, poison",Shadow Pokémon,generation-i
95,095_onix.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/095_onix.png,onix,rock and ground-type rock snake pokemon,"rock, ground",Rock Snake Pokémon,generation-i
96,096_drowzee.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/096_drowzee.png,drowzee,psychic-type hypnosis pokemon,psychic,Hypnosis Pokémon,generation-i
97,097_hypno.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/097_hypno.png,hypno,psychic-type hypnosis pokemon,psychic,Hypnosis Pokémon,generation-i
98,098_krabby.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/098_krabby.png,krabby,water-type river crab pokemon,water,River Crab Pokémon,generation-i
99,099_kingler.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/099_kingler.png,kingler,water-type pincer pokemon,water,Pincer Pokémon,generation-i
100,100_voltorb.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/100_voltorb.png,voltorb,electric-type ball pokemon,electric,Ball Pokémon,generation-i
101,101_electrode.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/101_electrode.png,electrode,electric-type ball pokemon,electric,Ball Pokémon,generation-i
102,102_exeggcute.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/102_exeggcute.png,exeggcute,grass and psychic-type egg pokemon,"grass, psychic",Egg Pokémon,generation-i
103,103_exeggutor.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/103_exeggutor.png,exeggutor,grass and psychic-type coconut pokemon,"grass, psychic",Coconut Pokémon,generation-i
104,104_cubone.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/104_cubone.png,cubone,ground-type lonely pokemon,ground,Lonely Pokémon,generation-i
105,105_marowak.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/105_marowak.png,marowak,ground-type bone keeper pokemon,ground,Bone Keeper Pokémon,generation-i
106,106_hitmonlee.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/106_hitmonlee.png,hitmonlee,fighting-type kicking pokemon,fighting,Kicking Pokémon,generation-i
107,107_hitmonchan.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/107_hitmonchan.png,hitmonchan,fighting-type punching pokemon,fighting,Punching Pokémon,generation-i
108,108_lickitung.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/108_lickitung.png,lickitung,normal-type licking pokemon,normal,Licking Pokémon,generation-i
109,109_koffing.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/109_koffing.png,koffing,poison-type poison gas pokemon,poison,Poison Gas Pokémon,generation-i
110,110_weezing.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/110_weezing.png,weezing,poison-type poison gas pokemon,poison,Poison Gas Pokémon,generation-i
111,111_rhyhorn.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/111_rhyhorn.png,rhyhorn,ground and rock-type spikes pokemon,"ground, rock",Spikes Pokémon,generation-i
112,112_rhydon.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/112_rhydon.png,rhydon,ground and rock-type drill pokemon,"ground, rock",Drill Pokémon,generation-i
113,113_chansey.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/113_chansey.png,chansey,normal-type egg pokemon,normal,Egg Pokémon,generation-i
114,114_tangela.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/114_tangela.png,tangela,grass-type vine pokemon,grass,Vine Pokémon,generation-i
115,115_kangaskhan.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/115_kangaskhan.png,kangaskhan,normal-type parent pokemon,normal,Parent Pokémon,generation-i
116,116_horsea.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/116_horsea.png,horsea,water-type dragon pokemon,water,Dragon Pokémon,generation-i
117,117_seadra.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/117_seadra.png,seadra,water-type dragon pokemon,water,Dragon Pokémon,generation-i
118,118_goldeen.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/118_goldeen.png,goldeen,water-type goldfish pokemon,water,Goldfish Pokémon,generation-i
119,119_seaking.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/119_seaking.png,seaking,water-type goldfish pokemon,water,Goldfish Pokémon,generation-i
120,120_staryu.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/120_staryu.png,staryu,water-type star shape pokemon,water,Star Shape Pokémon,generation-i
121,121_starmie.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/121_starmie.png,starmie,water and psychic-type mysterious pokemon,"water, psychic",Mysterious Pokémon,generation-i
122,122_mr-mime.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/122_mr-mime.png,mr-mime,psychic and fairy-type barrier pokemon,"psychic, fairy",Barrier Pokémon,generation-i
123,123_scyther.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/123_scyther.png,scyther,bug and flying-type mantis pokemon,"bug, flying",Mantis Pokémon,generation-i
124,124_jynx.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/124_jynx.png,jynx,ice and psychic-type human shape pokemon,"ice, psychic",Human Shape Pokémon,generation-i
125,125_electabuzz.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/125_electabuzz.png,electabuzz,electric-type electric pokemon,electric,Electric Pokémon,generation-i
126,126_magmar.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/126_magmar.png,magmar,fire-type spitfire pokemon,fire,Spitfire Pokémon,generation-i
127,127_pinsir.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/127_pinsir.png,pinsir,bug-type stag beetle pokemon,bug,Stag Beetle Pokémon,generation-i
128,128_tauros.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/128_tauros.png,tauros,normal-type wild bull pokemon,normal,Wild Bull Pokémon,generation-i
129,129_magikarp.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/129_magikarp.png,magikarp,water-type fish pokemon,water,Fish Pokémon,generation-i
130,130_gyarados.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/130_gyarados.png,gyarados,water and flying-type atrocious pokemon,"water, flying",Atrocious Pokémon,generation-i
131,131_lapras.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/131_lapras.png,lapras,water and ice-type transport pokemon,"water, ice",Transport Pokémon,generation-i
132,132_ditto.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/132_ditto.png,ditto,normal-type transform pokemon,normal,Transform Pokémon,generation-i
133,133_eevee.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/133_eevee.png,eevee,normal-type evolution pokemon,normal,Evolution Pokémon,generation-i
134,134_vaporeon.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/134_vaporeon.png,vaporeon,water-type bubble jet pokemon,water,Bubble Jet Pokémon,generation-i
135,135_jolteon.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/135_jolteon.png,jolteon,electric-type lightning pokemon,electric,Lightning Pokémon,generation-i
136,136_flareon.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/136_flareon.png,flareon,fire-type flame pokemon,fire,Flame Pokémon,generation-i
137,137_porygon.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/137_porygon.png,porygon,normal-type virtual pokemon,normal,Virtual Pokémon,generation-i
138,138_omanyte.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/138_omanyte.png,omanyte,rock and water-type spiral pokemon,"rock, water",Spiral Pokémon,generation-i
139,139_omastar.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/139_omastar.png,omastar,rock and water-type spiral pokemon,"rock, water",Spiral Pokémon,generation-i
140,140_kabuto.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/140_kabuto.png,kabuto,rock and water-type shellfish pokemon,"rock, water",Shellfish Pokémon,generation-i
141,141_kabutops.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/141_kabutops.png,kabutops,rock and water-type shellfish pokemon,"rock, water",Shellfish Pokémon,generation-i
142,142_aerodactyl.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/142_aerodactyl.png,aerodactyl,rock and flying-type fossil pokemon,"rock, flying",Fossil Pokémon,generation-i
143,143_snorlax.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/143_snorlax.png,snorlax,normal-type sleeping pokemon,normal,Sleeping Pokémon,generation-i
144,144_articuno.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/144_articuno.png,articuno,ice and flying-type freeze pokemon,"ice, flying",Freeze Pokémon,generation-i
145,145_zapdos.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/145_zapdos.png,zapdos,electric and flying-type electric pokemon,"electric, flying",Electric Pokémon,generation-i
146,146_moltres.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/146_moltres.png,moltres,fire and flying-type flame pokemon,"fire, flying",Flame Pokémon,generation-i
147,147_dratini.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/147_dratini.png,dratini,dragon-type dragon pokemon,dragon,Dragon Pokémon,generation-i
148,148_dragonair.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/148_dragonair.png,dragonair,dragon-type dragon pokemon,dragon,Dragon Pokémon,generation-i
149,149_dragonite.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/149_dragonite.png,dragonite,dragon and flying-type dragon pokemon,"dragon, flying",Dragon Pokémon,generation-i
150,150_mewtwo.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/150_mewtwo.png,mewtwo,psychic-type genetic pokemon,psychic,Genetic Pokémon,generation-i
151,151_mew.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/151_mew.png,mew,psychic-type new species pokemon,psychic,New Species Pokémon,generation-i
152,152_chikorita.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/152_chikorita.png,chikorita,grass-type leaf pokemon,grass,Leaf Pokémon,generation-ii
153,153_bayleef.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/153_bayleef.png,bayleef,grass-type leaf pokemon,grass,Leaf Pokémon,generation-ii
154,154_meganium.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/154_meganium.png,meganium,grass-type herb pokemon,grass,Herb Pokémon,generation-ii
155,155_cyndaquil.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/155_cyndaquil.png,cyndaquil,fire-type fire mouse pokemon,fire,Fire Mouse Pokémon,generation-ii
156,156_quilava.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/156_quilava.png,quilava,fire-type volcano pokemon,fire,Volcano Pokémon,generation-ii
157,157_typhlosion.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/157_typhlosion.png,typhlosion,fire-type volcano pokemon,fire,Volcano Pokémon,generation-ii
158,158_totodile.png,/Users/josephlattanzi/Scripts/PokeForge/data/processed/images/158_totodile.png,totodile,water-type big jaw pokemon,water,Big Jaw Pokémon,generation-ii
